miRNA	MIMATid	Gene	EntrezID	RefseqID	miRWalk	miRanda	miRDB	RNA22	Targetscan	SUM
hsa-miR-155-5p	MIMAT0000646	RASAL2	9462	NM_170692	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	STXBP5L	9515	NM_014980	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SOCS5	9655	NM_144949	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TLR6	10333	NM_006068	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	EXOC5	10640	NM_006544	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	MAP3K2	10746	NM_006609	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	KDM5B	10765	NM_006618	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	AKAP10	11216	NM_007202	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TAB2	23118	NM_015093	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	CEP68	23177	NM_015147	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TMEM194A	23306	NM_001130963	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	DPY19L1	23333	NM_015283	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	LRRC8B	23507	NM_015350	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	MORC3	23515	NM_015358	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	CARHSP1	23589	NM_001042476	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GABARAPL1	23710	NM_031412	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	MOB4	25843	NM_199482	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	KBTBD2	25948	NM_015483	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	UPF2	26019	NM_080599	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	FBXO22	26263	NM_147188	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	RRP15	51018	NM_016052	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SAR1B	51128	NM_001033503	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	LRP1B	53353	NM_018557	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	RBM47	54502	NM_001098634	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ELMOD1	55531	NM_018712	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	G2E3	55632	NM_017769	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	RUFY2	55680	NM_017987	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SEPT11	55752	NM_018243	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TM9SF3	56889	NM_020123	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ADAMTSL3	57188	NM_207517	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GPR126	57211	NM_020455	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	AICDA	57379	NM_020661	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	WDFY1	57590	NM_020830	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TSHZ3	57616	NM_020856	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	RBAK	57786	NM_021163	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	RAPH1	65059	NM_213589	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TRPM8	79054	NM_024080	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	CDC73	79577	NM_024529	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	DHX40	79665	NM_024612	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	NDFIP1	80762	NM_030571	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	CSRNP2	81566	NM_030809	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	FAR1	84188	NM_032228	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	C15orf41	84529	NM_032499	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SESTD1	91404	NM_178123	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ANTXR2	118429	NM_058172	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	UBXN2B	137886	NM_001077619	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	FAM199X	139231	NM_207318	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	CACUL1	143384	NM_153810	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	IGSF11	152404	NM_152538	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	CREBRF	153222	NM_153607	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	FAM91A1	157769	NM_144963	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	LCA5	167691	NM_181714	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	AGO4	192670	NM_017629	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ARID2	196528	NM_152641	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TAPT1	202018	NM_153365	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	C3orf58	205428	NM_173552	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	RTKN2	219790	NM_145307	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	MPEG1	219972	NM_001039396	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	C5orf64	285668	NM_173667	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ZNF260	339324	NM_001012756	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	FREM2	341640	NM_207361	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	IRF2BP2	359948	NM_182972	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ENTPD1	953	NM_001776	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	FMO5	2330	NM_001461	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GABRA4	2557	NM_000809	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GLUL	2752	NM_002065	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GNAS	2778	NM_001077490	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GNAS	2778	NM_080425	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GYG1	2992	NM_004130	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TNPO1	3842	NM_002270	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	LIG4	3981	NM_002312	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	NKX3-1	4824	NM_006167	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ENPP1	5167	NM_006208	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GCFC2	6936	NM_003203	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	USH2A	7399	NM_206933	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	PRSS12	8492	NM_003619	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	QKI	9444	NM_206855	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ENTPD4	9583	NM_004901	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	KBTBD11	9920	NM_014867	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ZNF507	22847	NM_001136156	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	PDCD4	27250	NM_145341	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SERPINA10	51156	NM_016186	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	HMP19	51617	NM_015980	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	KLHL4	56062	NM_019117	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TWSG1	57045	NM_020648	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SERINC1	57515	NM_020755	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	MPP5	64398	NM_022474	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	MASTL	84930	NM_001172303	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	EPT1	85465	NM_033505	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ACTR8	93973	NM_022899	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	LNX2	222484	NM_153371	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	WDR72	256764	NM_182758	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GDPD1	284161	NM_182569	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	CPLX4	339302	NM_181654	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ZNF680	340252	NM_178558	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	C6orf120	387263	NM_001029863	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ZNF470	388566	NM_001001668	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ABL2	27	NM_007314	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	ACADSB	36	NM_001609	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	ACTA1	58	NM_001100	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	ADCY2	108	NM_020546	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	ABCD2	225	NM_005164	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	APAF1	317	NM_181861	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	XIAP	331	NM_001167	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	TRIM23	373	NM_001656	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	RND3	390	NM_001254738	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	ARHGAP5	394	XM_005267636	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	ASTN1	460	NM_004319	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	ATP2B3	492	XM_005274692	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	ATP2B3	492	XM_005277859	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	BACH1	571	XM_005261014	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	BCAT1	586	NM_005504	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	ZFP36L2	678	NM_006887	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	CACNA2D1	781	XM_005250569	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	CACNB4	785	NM_001005747	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	CCNT2	905	XM_005263831	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	CD47	961	NM_001777	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	CDX1	1044	NM_001804	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	CEBPB	1051	NM_005194	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	CLCN4	1183	NM_001830	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	CLCN5	1184	NM_001127899	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	COL4A4	1286	NM_000092	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	COL8A1	1295	XM_005247098	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	CSNK1A1	1452	XM_005268376	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	CSNK1G2	1455	XM_005259502	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	EPYC	1833	NM_004950	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	E2F2	1870	NM_004091	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PHC2	1912	XM_005270569	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	EPHA5	2044	NM_004439	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	EYA1	2138	NM_000503	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	FGF9	2254	NM_002010	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	FOXE1	2304	NM_004473	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	FOS	2353	NM_005252	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	GABRB2	2561	NM_021911	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	GATM	2628	NM_001482	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	GFPT1	2673	NM_001244710	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	GFRA1	2674	NM_005264	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	GJA5	2702	XM_005277385	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	GOLGA3	2802	NM_005895	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	GRSF1	2926	NM_002092	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	H3F3A	3020	NM_002107	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	HIVEP2	3097	XM_005266957	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	HNRNPU	3192	NM_031844	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	IGF1R	3480	NM_000875	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	IL6ST	3572	NM_002184	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	INPP4A	3631	NM_001134224	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	KCNA1	3736	NM_000217	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	KCNJ1	3758	NM_153767	0	1	1	1	1	4
hsa-miR-155-5p	MIMAT0000646	KPNA1	3836	XM_005247439	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	KRAS	3845	NM_033360	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	LIFR	3977	NM_001127671	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	LMX1A	4009	NM_177398	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	LPP	4026	XM_005247445	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SMAD5	4090	NM_001001419	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SMAD9	4093	NM_001127217	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	MECP2	4204	XM_005274683	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	MECP2	4204	XM_005277853	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	MEST	4232	NM_002402	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	MFAP3	4238	NM_001242336	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	MGP	4256	NM_001190839	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	MKLN1	4289	NM_001145354	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	MMP16	4325	NM_005941	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	MOCS2	4338	NM_004531	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	MUT	4594	NM_000255	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	MYB	4602	NM_001130173	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	MYBL1	4603	NM_001080416	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	PPP1R12B	4660	XM_005245201	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	NEO1	4756	XM_005254408	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	NFATC2	4773	NM_012340	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	NFIA	4774	NM_001134673	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	NFIX	4784	NM_001271043	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	NOVA1	4857	XM_005267707	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SLC11A2	4891	NM_001174129	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	NT5E	4907	NM_002526	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	OGN	4969	NM_033014	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PAK2	5062	NM_002577	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PAX6	5080	NM_000280	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PDE3A	5139	XM_005253389	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PEG3	5178	NM_006210	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PFKFB2	5208	NM_006212	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PGR	5241	NM_000926	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PHEX	5251	NM_000444	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PIK3CA	5290	NM_006218	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	PLS1	5357	NM_001172312	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	POU2F1	5451	NM_001198783	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PPP3R2	5535	NM_147180	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PRKAA2	5563	NM_006252	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PKIA	5569	NM_006823	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PRKAR1A	5573	NM_212471	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PRKG1	5592	NM_001098512	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PROX1	5629	NM_001270616	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PRRG1	5638	NM_001173489	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PSKH1	5681	NM_006742	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PTPN4	5775	NM_002830	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PTPRG	5793	NM_002841	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	RAB1A	5861	NM_004161	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	KDM5A	5927	NM_001042603	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	RBP2	5948	XM_005247693	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	RPS6KA3	6197	XM_005274574	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	RPS6KB1	6198	NM_001272044	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	RREB1	6239	XM_005249274	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	RSU1	6251	NM_012425	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SORT1	6272	XM_005271102	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SATB1	6304	NM_001195470	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	SCN2A	6326	NM_021007	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SHOX	6473	NM_000451	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SLA	6503	NM_001045556	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SLC1A2	6506	NM_004171	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SLC1A3	6507	NM_004172	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SLC5A3	6526	NM_006933	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SMARCA4	6597	XM_005260026	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SNTB2	6645	NM_006750	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SPARC	6678	NM_003118	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	SPOCK1	6695	NM_004598	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	STAC	6769	XM_005265412	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	TAF7	6879	NM_005642	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	TCEB1	6921	NM_001204858	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	TCF7L2	6934	XM_005270071	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	TCF7L2	6934	XM_005270072	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	TCF12	6938	XM_005254613	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	TLL1	7092	XM_005263191	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	UBE2D3	7323	NM_181892	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	UBE2G1	7326	NM_003342	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	UQCRB	7381	NM_001254752	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	YWHAE	7531	NM_006761	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	YWHAZ	7534	XM_005251061	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	ZNF33B	7582	XM_005271825	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	ZFAND5	7763	NM_001102420	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	ZNF236	7776	NM_007345	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	SCG2	7857	NM_003469	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	SSPN	8082	NM_005086	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	FXR1	8087	NM_001013439	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	USP9X	8239	NM_001039590	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	PICALM	8301	NM_007166	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	DYRK2	8445	NM_006482	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	UNC5C	8633	XM_005263321	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	PEA15	8682	XM_005245562	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	CD84	8832	NM_001184879	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	TBX18	9096	NM_001080508	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	USP8	9101	NM_001128610	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	LRAT	9227	NM_004744	1	1	1	0	1	4
hsa-miR-155-5p	MIMAT0000646	MED21	9412	NM_004264	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	BAG5	9529	NM_001015049	1	1	0	1	1	4
hsa-miR-155-5p	MIMAT0000646	IKBKE	9641	NM_014002	0	1	1	1	1	4
